City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Lorengau,-2.0226,147.2712,85.75,61,18,5.17,PG,1615608998
Rawson,-43.3002,-65.1023,69.55,34,0,9.01,AR,1615609079
Vao,-22.6667,167.4833,77.49,75,68,18.1,NC,1615609079
Usatove,46.533,30.6596,32.0,100,0,3.62,UA,1615609079
Mount Isa,-20.7333,139.5,95.0,31,75,13.8,AU,1615608801
Tiksi,71.6872,128.8694,-11.92,94,100,8.43,RU,1615609079
Aljezur,37.3191,-8.8033,46.47,88,37,9.6,PT,1615609080
Henties Bay,-22.116,14.2845,64.04,87,1,5.46,NA,1615609080
Ixtapa,20.7,-105.2,71.01,88,1,1.54,MX,1615609080
Calituban,10.24,124.2919,82.4,78,75,10.36,PH,1615609080
Bentiu,9.2333,29.8333,77.92,21,0,2.37,SS,1615609081
Linqiong,30.4159,103.4609,70.0,64,40,2.24,CN,1615609081
Ndola,-12.9587,28.6366,62.44,98,100,5.95,ZM,1615609081
Wahiawā,21.5028,-158.0236,75.0,94,90,10.36,US,1615609082
North Platte,41.1239,-100.7654,46.4,42,90,10.36,US,1615608799
Constitución,-35.3333,-72.4167,58.68,66,0,2.64,CL,1615608951
Klaksvík,62.2266,-6.589,39.2,81,40,13.8,FO,1615609082
Danielskuil,-28.1887,23.5395,67.44,60,34,14.5,ZA,1615609017
Huarmey,-10.0681,-78.1522,72.36,81,0,6.49,PE,1615609082
Khatanga,71.9667,102.5,-12.19,79,100,13.6,RU,1615609083
Yulara,-25.2406,130.9889,77.0,69,90,12.66,AU,1615609083
Micheweni,-4.9667,39.8333,80.17,70,64,3.98,TZ,1615609083
Laguna,38.421,-121.4238,62.6,40,1,4.61,US,1615609083
Guadalupe,25.6833,-100.25,75.2,73,40,11.5,MX,1615608838
East London,-33.0153,27.9116,75.2,73,0,8.05,ZA,1615609084
Koshurnikovo,54.1667,93.3,26.87,91,100,3.42,RU,1615609084
Alofi,-19.0595,-169.9187,80.6,78,20,4.61,NU,1615608916
New Norfolk,-42.7826,147.0587,64.99,61,100,5.01,AU,1615609084
Bengkulu,-3.8004,102.2655,85.19,62,76,4.83,ID,1615609085
Hong Kong,22.2855,114.1577,75.0,72,72,4.0,HK,1615609075
Cap Malheureux,-19.9842,57.6142,84.0,66,29,8.01,MU,1615609085
Dalvik,65.9702,-18.5286,28.4,93,90,19.57,IS,1615609085
Ouahigouya,13.5828,-2.4216,68.47,19,14,11.83,BF,1615609085
Ribeira Grande,38.5167,-28.7,60.69,80,100,17.74,PT,1615609086
Pavino,59.1139,46.1414,10.96,88,74,12.5,RU,1615609086
Celestún,20.8667,-90.4,75.65,70,0,17.11,MX,1615609086
Gouré,13.9835,10.2704,75.7,12,25,7.49,NE,1615609087
Hvolsvollur,63.7533,-20.2243,28.74,54,94,14.14,IS,1615609087
Lebu,-37.6167,-73.65,56.1,89,2,12.5,CL,1615609004
Ballina,-28.8667,153.5667,84.2,69,75,14.97,AU,1615608949
Samarai,-10.6167,150.6667,86.74,68,71,12.01,PG,1615609087
Sørland,67.667,12.6934,39.6,85,97,22.48,NO,1615609087
Minas de Barroterán,27.6333,-101.2833,73.31,71,73,17.78,MX,1615609088
Ilulissat,69.2167,-51.1,6.8,66,53,3.44,GL,1615609088
Tuatapere,-46.1333,167.6833,64.99,70,0,5.99,NZ,1615609088
Mehamn,71.0357,27.8492,17.82,84,98,7.74,NO,1615609088
Padang,-0.9492,100.3543,86.0,66,20,5.75,ID,1615609089
Ubari,26.5921,12.7805,59.13,35,28,20.54,LY,1615609089
Vondrozo,-22.8167,47.2833,64.96,91,2,3.13,MG,1615609089
Carnarvon,-24.8667,113.6333,95.0,34,3,12.66,AU,1615609090
Rosita,13.9268,-84.4032,69.4,99,9,2.66,NI,1615609090
Luganville,-15.5333,167.1667,81.84,81,98,9.82,VU,1615609090
George Town,5.4112,100.3354,87.8,70,20,8.05,MY,1615608849
Juneau,58.3019,-134.4197,24.8,86,1,3.44,US,1615609090
Kibala,9.1104,18.3463,77.34,48,66,4.23,TD,1615609091
Fairbanks,64.8378,-147.7164,-13.0,70,1,1.01,US,1615608814
Mpanda,-6.3655,31.0409,61.83,93,100,1.83,TZ,1615609091
Jijiga,9.35,42.8,60.85,42,78,6.46,ET,1615609091
Qinnan,33.2531,119.9133,59.14,49,84,2.59,CN,1615609092
Santa Rosa,14.3122,121.1114,82.4,74,75,6.91,PH,1615608958
San Patricio,28.017,-97.5169,75.2,88,90,18.41,US,1615609092
Tawang Town,27.5833,91.8667,54.07,53,0,5.55,IN,1615609092
Ampanihy,-24.7,44.75,71.35,78,0,10.8,MG,1615609092
Safaga,26.7292,33.9365,57.2,62,0,10.36,EG,1615609093
Teya,60.3778,92.6267,9.12,87,59,9.15,RU,1615609093
Jutaí,-5.1833,-68.9,72.18,92,97,1.14,BR,1615609093
Hilo,19.7297,-155.09,75.2,73,75,4.61,US,1615609049
Caravelas,-17.7125,-39.2481,72.36,82,0,4.88,BR,1615609094
Makakilo City,21.3469,-158.0858,75.2,88,75,13.8,US,1615609094
Bandarbeyla,9.4942,50.8122,77.72,68,5,7.34,SO,1615609094
Hobart,-42.8794,147.3294,69.8,60,90,16.11,AU,1615608904
Esperance,-33.8667,121.9,66.2,39,86,10.36,AU,1615609094
Aykhal,66.0,111.5,8.13,92,100,8.23,RU,1615609095
Kattivākkam,13.2167,80.3167,82.4,69,40,3.44,IN,1615609095
Krasnosel'kup,65.7,82.4667,4.6,90,100,25.86,RU,1615609095
Isangel,-19.55,169.2667,86.0,70,40,17.27,VU,1615609096
Nizwá,22.9333,57.5333,78.03,20,17,2.24,OM,1615609096
Cabra,37.4725,-4.4421,46.0,78,50,2.08,ES,1615608983
Bethel,41.3712,-73.414,53.6,29,20,5.75,US,1615609096
Lagoa,39.05,-27.9833,59.09,83,100,17.25,PT,1615609097
Chokurdakh,70.6333,147.9167,-16.49,94,0,2.17,RU,1615609097
Reconquista,-29.15,-59.65,71.02,48,16,3.91,AR,1615608980
Barwādih,23.8333,84.1167,79.59,37,69,8.39,IN,1615609097
Yerbogachën,61.2767,108.0108,20.5,91,100,20.4,RU,1615609097
Cabo San Lucas,22.8909,-109.9124,68.0,60,20,11.14,MX,1615608940
Egvekinot,66.3167,-179.1667,25.66,97,100,23.8,RU,1615609098
Dingle,10.9995,122.6711,81.64,83,91,6.33,PH,1615609098
Kyritz,52.9421,12.397,39.99,89,97,12.41,DE,1615609098
Nanortalik,60.1432,-45.2371,15.22,61,87,8.88,GL,1615609099
Champerico,14.3,-91.9167,69.01,92,98,7.2,GT,1615609099
Narsaq,60.9167,-46.05,12.2,44,20,5.75,GL,1615609099
Sur,22.5667,59.5289,87.53,26,0,15.84,OM,1615609099
Port Elizabeth,-33.918,25.5701,64.4,94,0,3.44,ZA,1615609100
Ostrovnoy,68.0531,39.5131,9.82,93,100,16.4,RU,1615609100
Tura,25.5198,90.2201,89.94,20,0,4.14,IN,1615608908
Belyy,55.8402,32.9419,24.3,92,100,11.9,RU,1615609100
Kumul,42.8,93.45,55.96,26,100,6.93,CN,1615609101
Bell Ville,-32.6259,-62.6887,63.0,96,41,1.01,AR,1615609101
Kiknur,57.3034,47.2011,8.33,90,71,14.99,RU,1615609101
Tateyama,34.9833,139.8667,60.8,88,75,16.11,JP,1615609101
Key Largo,25.0865,-80.4473,73.0,75,3,18.61,US,1615608852
Hobyo,5.3505,48.5268,79.57,71,53,15.08,SO,1615609102
Saldanha,-33.0117,17.9442,60.8,88,51,2.3,ZA,1615609102
Midland,31.9974,-102.0779,69.8,68,40,14.97,US,1615609102
Sola,-13.8833,167.55,84.2,79,75,5.75,VU,1615608970
Port Hedland,-20.3167,118.5667,89.6,66,40,10.36,AU,1615609103
Usvyaty,55.7456,30.7533,33.03,94,100,8.99,RU,1615609103
Nyurba,63.2842,118.3319,15.51,87,100,9.26,RU,1615608934
Pacific Grove,36.6177,-121.9166,52.0,89,0,3.0,US,1615608831
Mariehamn,60.0973,19.9348,37.4,87,90,10.36,AX,1615609103
Hofn,64.2539,-15.2082,36.0,57,100,26.46,IS,1615609104
Matagami,49.7502,-77.6328,5.0,78,90,14.97,CA,1615609104
Havøysund,70.9963,24.6622,21.2,73,90,4.61,NO,1615609104
Pangkalanbuun,-2.6833,111.6167,92.1,47,67,4.68,ID,1615609104
Liku,-0.7275,119.8922,87.26,58,100,4.0,ID,1615609105
Naze,28.3667,129.4833,68.0,60,75,14.97,JP,1615609014
Coyhaique,-45.5752,-72.0662,47.5,98,6,5.39,CL,1615608962
Valle d'Aosta,45.7667,7.4167,30.0,44,2,1.99,IT,1615609105
Morondava,-20.2833,44.2833,75.96,72,0,12.15,MG,1615609105
Cockburn Town,21.4612,-71.1419,75.2,78,75,11.5,TC,1615609106
Poquoson,37.1224,-76.3458,63.0,72,1,10.36,US,1615609106
Taku,39.0211,117.6469,53.6,50,62,2.24,CN,1615609106
Cartagena del Chairá,1.3349,-74.8429,70.93,86,21,1.16,CO,1615609106
Karakol,42.4907,78.3936,43.32,40,100,0.89,KG,1615608916
Divnomorskoye,44.5011,38.1353,38.35,75,98,9.19,RU,1615609107
Bandundu Province,-3.3167,17.3667,69.91,92,100,4.12,CD,1615609107
Port-Cartier,50.0334,-66.8654,24.01,58,90,25.32,CA,1615609107
Okhotsk,59.3833,143.3,6.17,67,0,15.77,RU,1615609108
Newport,51.5877,-2.9984,45.0,81,64,4.0,GB,1615608888
Yuxia,34.0615,108.6291,59.0,72,0,11.18,CN,1615609108
Avera,33.194,-82.5271,59.0,77,1,6.91,US,1615609108
Plettenberg Bay,-34.0527,23.3716,67.55,68,40,3.8,ZA,1615608950
Røros,62.5747,11.3842,12.2,92,90,2.3,NO,1615609109
Hollola,61.05,25.4333,25.0,96,100,1.01,FI,1615609109
Bambous Virieux,-20.3428,57.7575,84.0,69,40,11.5,MU,1615609109
Gravdal,68.1214,13.5031,37.45,82,98,14.94,NO,1615609109
Thompson,55.7435,-97.8558,15.8,79,20,3.44,CA,1615609110
Uniontown,39.9001,-79.7164,51.8,32,1,7.4,US,1615609110
Orsha,54.5153,30.4053,28.4,100,90,6.71,BY,1615609110
Araouane,18.9048,-3.5265,62.92,31,0,9.22,ML,1615609110
Atikokan,48.7555,-91.6216,22.95,70,47,8.7,CA,1615609111
Severo-Kuril'sk,50.6789,156.125,26.91,85,96,24.2,RU,1615608973
Kruisfontein,-34.0033,24.7314,69.1,53,42,6.02,ZA,1615608999
Zhangye,38.9342,100.4517,60.87,13,7,26.96,CN,1615609111
Rengo,-34.4167,-70.8667,64.4,52,0,1.14,CL,1615609111
Gangelt,50.9833,6.0,44.6,87,75,24.16,DE,1615609112
Eilat,29.5581,34.9482,55.4,62,0,8.05,IL,1615609112
Djibouti,11.5,42.5,77.0,83,40,15.41,DJ,1615609112
Raudeberg,61.9875,5.1352,37.99,86,74,15.03,NO,1615609112
Chabahar,25.2919,60.643,72.77,82,68,18.23,IR,1615609113
Kahului,20.8947,-156.47,71.6,94,75,12.66,US,1615609113
Alice Springs,-23.7,133.8833,73.4,88,90,5.75,AU,1615609113
Cherbourg-en-Cotentin,49.6386,-1.6147,46.0,81,90,28.77,FR,1615609113
Matamoros,25.5333,-103.25,82.4,11,75,4.54,MX,1615609114
Guasdualito,7.2424,-70.7324,78.8,65,73,2.3,VE,1615609114
Banda Aceh,5.5577,95.3222,86.34,61,40,8.05,ID,1615609030
Kavieng,-2.5744,150.7967,84.4,61,62,5.44,PG,1615608982
Saint-Pierre,-21.3393,55.4781,80.01,78,75,13.8,RE,1615609114
Aripuanã,-9.1667,-60.6333,71.85,96,94,1.3,BR,1615609115
Mārkāpur,15.7333,79.2833,82.42,39,0,5.97,IN,1615609115
Bagumbayan,17.7227,121.447,81.55,71,100,9.06,PH,1615609115
Wilmington,34.2257,-77.9447,64.4,63,1,8.05,US,1615608639
La Tuque,47.4334,-72.7824,26.6,59,100,17.27,CA,1615609116
Salamiyah,35.0113,37.0532,40.39,77,0,2.42,SY,1615609116
Forsytheganj,52.6333,29.7333,30.85,97,72,7.7,BY,1615609116
Bafoulabé,13.8065,-10.8321,69.98,18,0,5.17,ML,1615609116
Limbang,4.75,115.0,86.0,79,75,4.61,MY,1615609117
Faya,18.3851,42.4509,57.2,71,0,6.78,SA,1615609117
Pangnirtung,66.1451,-65.7125,-11.29,98,88,1.52,CA,1615609117
Olafsvik,64.8945,-23.7142,29.1,71,56,18.68,IS,1615609117
Itoman,26.1247,127.6694,69.8,56,75,13.8,JP,1615609118
Daia,44.0,25.9833,37.99,79,100,5.79,RO,1615609118
Chapais,49.7834,-74.8492,5.0,78,90,16.11,CA,1615609118
Manta,-0.95,-80.7333,78.8,83,75,2.3,EC,1615609118
Byron Bay,-28.65,153.6167,81.0,74,40,16.11,AU,1615608894
Pombas,17.1503,-25.0201,68.0,77,0,10.36,CV,1615609119
Saint-Augustin,51.226,-58.6502,27.93,87,100,21.3,CA,1615608975
Campbell River,50.0163,-125.2446,44.01,81,90,4.61,CA,1615608829
Aktau,43.65,51.2,21.2,53,40,6.71,KZ,1615609119
Tulum,20.2167,-87.4667,71.83,79,1,7.07,MX,1615609061
Mandalgovi,45.7625,106.2708,49.55,22,0,11.45,MN,1615609120
Itaíba,-8.9475,-37.4228,71.24,82,67,6.26,BR,1615609120
Sühbaatar,50.2314,106.2078,38.21,57,100,6.58,MN,1615609120
Irkutsk,52.2978,104.2964,32.0,69,0,6.71,RU,1615609120
San Juan,-31.5375,-68.5364,73.44,59,46,6.64,AR,1615609098
Sisimiut,66.9395,-53.6735,10.44,83,83,6.51,GL,1615609121
Isoka,-10.1606,32.6335,60.17,95,92,2.04,ZM,1615609121
Baturaja,-4.1333,104.1667,86.59,63,91,3.69,ID,1615609121
Buchanan,5.8808,-10.0467,75.2,94,40,6.76,LR,1615609122
Churapcha,62.0025,132.4325,11.77,84,100,3.76,RU,1615609122
Grand Gaube,-20.0064,57.6608,84.0,66,29,8.01,MU,1615609122
Poum,-20.2333,164.0167,80.62,72,25,13.76,NC,1615609122
Omsukchan,62.5333,155.8,-3.77,89,100,7.65,RU,1615609123
Itaí,-23.4178,-49.0906,65.98,96,7,6.02,BR,1615609123
Asahikawa,43.7678,142.3703,35.6,30,75,4.61,JP,1615608979
Chinsali,-10.5414,32.0816,61.29,95,85,3.74,ZM,1615609123
Sandnessjøen,66.0217,12.6316,37.4,70,90,2.3,NO,1615609124
Verāval,20.9,70.3667,81.68,46,96,8.5,IN,1615609124
Wadi Maliz,36.4681,8.5495,42.8,87,46,4.61,TN,1615609124
Lethem,3.3803,-59.7968,74.93,86,84,8.79,GY,1615609124
Yarmouth,41.7057,-70.2286,50.0,32,1,10.36,US,1615609125
Bikaner,28.0167,73.3,78.66,33,41,10.47,IN,1615608831
Emerald,-23.5333,148.1667,93.2,38,40,5.75,AU,1615609125
Tūkrah,32.5341,20.5791,49.06,69,1,3.29,LY,1615609125
Santiago del Estero,-27.7951,-64.2615,71.46,53,86,4.41,AR,1615609126
Dom Pedro,-4.4833,-44.45,71.82,98,93,2.28,BR,1615609126
Kaitangata,-46.2817,169.8464,66.0,60,0,7.0,NZ,1615609126
Vilyuysk,63.7553,121.6247,10.44,91,100,8.52,RU,1615609126
Barreirinhas,-2.7469,-42.8264,75.78,91,95,4.14,BR,1615609127
Río Gallegos,-51.6226,-69.2181,57.2,47,0,28.77,AR,1615609026
Tongliao,43.6125,122.2653,50.04,30,2,7.49,CN,1615609127
Voskresenskoye,56.8381,45.4317,9.18,88,92,12.12,RU,1615609127
Tecolutla,20.4833,-97.0167,73.49,91,18,11.79,MX,1615609128
Phalaborwa,-23.943,31.1411,68.0,100,26,3.44,ZA,1615609128
Turukhansk,65.8167,87.9833,-8.84,97,100,22.1,RU,1615609128
Chikwawa,-16.0335,34.8009,73.4,98,100,5.21,MW,1615609128
Ambon City,-3.6954,128.1814,87.8,66,40,11.5,ID,1615609129
Baharly,38.4362,57.4316,29.53,96,100,13.0,TM,1615609088
Black Diamond,47.3087,-122.0032,45.0,88,32,4.12,US,1615609129
Edgewater,28.9889,-80.9023,63.0,94,1,5.12,US,1615609129
Palmares do Sul,-30.2578,-50.5097,67.44,85,0,5.55,BR,1615609129
Saint Paul Harbor,57.79,-152.4072,23.0,39,1,18.41,US,1615609130
Husavik,66.0449,-17.3389,28.4,93,90,19.57,IS,1615609130
Miraflores,19.2167,-98.8083,69.8,21,40,8.05,MX,1615609130
Maïné Soroa,13.2114,12.0241,78.08,9,8,7.52,NE,1615609130
Zadar,44.1197,15.2422,44.6,100,20,4.61,HR,1615609131
Kitui,-1.367,38.0106,61.95,93,55,4.29,KE,1615609131
Mossamedes,-15.1961,12.1522,74.5,87,100,5.37,AO,1615609131
Zhigansk,66.7697,123.3711,1.69,93,100,15.75,RU,1615608975
Velikent,42.1863,48.0628,24.15,80,88,4.41,RU,1615609132
Borogontsy,62.6683,131.1683,11.43,87,99,3.31,RU,1615609132
Batticaloa,7.7102,81.6924,82.96,74,19,11.01,LK,1615609132
Varberg,57.1056,12.2508,37.0,93,99,14.0,SE,1615609133
Moose Factory,51.2585,-80.6094,-4.0,77,1,8.05,CA,1615609133
Oddur,4.1213,43.8894,68.22,89,88,19.28,SO,1615609133
Knysna,-34.0363,23.0471,60.8,88,0,5.75,ZA,1615609133
Mount Gambier,-37.8333,140.7667,59.0,72,90,21.85,AU,1615609134
Wamba,8.9333,8.6,76.19,77,86,6.02,NG,1615609134
Mitsamiouli,-11.3847,43.2844,81.86,71,11,2.42,KM,1615609134
Rincon,32.296,-81.2354,60.8,77,1,4.61,US,1615609022
Abu Dhabi,24.4667,54.3667,82.4,24,0,5.75,AE,1615608870
Cabedelo,-6.9811,-34.8339,77.0,88,20,3.44,BR,1615609134
Balkhash,46.844,74.9804,10.4,67,0,17.9,KZ,1615609135
Oussouye,12.485,-16.5469,73.4,73,0,2.3,SN,1615609070
Castel Volturno,41.0149,13.9462,55.0,100,75,10.13,IT,1615609135
The Valley,18.217,-63.0578,77.0,78,20,3.44,AI,1615609135
Dunedin,-45.8742,170.5036,66.0,66,0,5.99,NZ,1615608905
Gold Coast,-28.0,153.4333,80.6,65,40,12.66,AU,1615609136
Oranjestad,12.524,-70.027,78.8,73,20,13.8,AW,1615609096
San Cristobal,7.7669,-72.225,64.74,90,39,2.13,VE,1615609136
Roebourne,-20.7833,117.1333,94.64,42,8,9.8,AU,1615609136
Sakaiminato,35.55,133.2333,53.6,66,75,12.66,JP,1615609137
Delta,5.5,6.0,76.48,91,83,2.75,NG,1615609137
Beihai,21.4833,109.1,75.45,70,0,6.35,CN,1615609137
Tandil,-37.3217,-59.1332,53.33,76,15,5.53,AR,1615608954
Safi,32.2994,-9.2372,55.47,87,3,20.07,MA,1615609137
Rafaela,-31.2503,-61.4867,73.0,53,35,4.0,AR,1615609138
Ngaoundéré,7.3167,13.5833,66.63,89,84,7.45,CM,1615609138
Clyde River,70.4692,-68.5914,-4.0,84,90,14.97,CA,1615609138
Lerwick,60.1545,-1.1494,41.0,81,75,23.02,GB,1615608844
Albanel,48.8832,-72.4487,19.4,68,99,29.93,CA,1615609139
Tsimmerbude,54.675,20.1347,39.2,75,0,11.18,RU,1615609139
Shimanovsk,52.0,127.7,36.57,93,65,7.07,RU,1615609139
Våler,60.6785,11.8331,24.8,100,20,2.3,NO,1615609139
Gijón,43.5357,-5.6615,51.01,62,75,13.8,ES,1615608967
Nemuro,43.3236,145.575,39.2,52,0,18.41,JP,1615609140
Tamiahua,21.2667,-97.45,72.12,94,2,5.84,MX,1615609140
Jacksonville,30.3322,-81.6556,64.0,82,1,3.44,US,1615609140
Pevek,69.7008,170.3133,8.13,94,100,6.51,RU,1615609141
Sinnamary,5.3833,-52.95,73.17,91,100,9.6,GF,1615609141
Hasaki,35.7333,140.8333,57.2,94,75,19.57,JP,1615609141
Verkhnetulomskiy,68.6073,31.7962,14.0,85,40,4.47,RU,1615609141
